[2024-10-25 11:45:55 AM-train.py-INFO:epoch: 10, dataset: CVC-ClinicDB, dice: 0.8945733870967741]
[2024-10-25 11:46:00 AM-train.py-INFO:epoch: 10, dataset: Kvasir, dice: 0.8752929999999997]
[2024-10-25 11:46:18 AM-train.py-INFO:epoch: 10, dataset: CVC-ColonDB, dice: 0.7108771052631585]
[2024-10-25 11:46:34 AM-train.py-INFO:epoch: 10, dataset: ETIS-LaribPolypDB, dice: 0.6084632653061226]
[2024-10-25 11:48:43 AM-train.py-INFO:epoch: 11, dataset: CVC-300, dice: 0.8168233333333335]
[2024-10-25 11:48:47 AM-train.py-INFO:epoch: 11, dataset: CVC-ClinicDB, dice: 0.8908338709677419]
[2024-10-25 11:48:50 AM-train.py-INFO:epoch: 11, dataset: Kvasir, dice: 0.86708]
[2024-10-25 11:49:04 AM-train.py-INFO:epoch: 11, dataset: CVC-ColonDB, dice: 0.7314050000000006]
[2024-10-25 11:49:18 AM-train.py-INFO:epoch: 11, dataset: ETIS-LaribPolypDB, dice: 0.5845188775510204]
[2024-10-25 11:51:53 AM-train.py-INFO:epoch: 12, dataset: CVC-300, dice: 0.834935]
[2024-10-25 11:52:00 AM-train.py-INFO:epoch: 12, dataset: CVC-ClinicDB, dice: 0.8690330645161288]
[2024-10-25 11:52:07 AM-train.py-INFO:epoch: 12, dataset: Kvasir, dice: 0.8294609999999999]
[2024-10-25 11:52:33 AM-train.py-INFO:epoch: 12, dataset: CVC-ColonDB, dice: 0.657883157894737]
[2024-10-25 11:52:57 AM-train.py-INFO:epoch: 12, dataset: ETIS-LaribPolypDB, dice: 0.4228602040816331]
[2024-10-25 11:54:58 AM-train.py-INFO:epoch: 13, dataset: CVC-300, dice: 0.8287066666666668]
[2024-10-25 11:55:02 AM-train.py-INFO:epoch: 13, dataset: CVC-ClinicDB, dice: 0.8866016129032255]
[2024-10-25 11:55:06 AM-train.py-INFO:epoch: 13, dataset: Kvasir, dice: 0.8625049999999997]
[2024-10-25 11:55:19 AM-train.py-INFO:epoch: 13, dataset: CVC-ColonDB, dice: 0.7229807894736842]
[2024-10-25 11:55:33 AM-train.py-INFO:epoch: 13, dataset: ETIS-LaribPolypDB, dice: 0.5799193877551021]
[2024-10-25 11:57:13 AM-train.py-INFO:epoch: 14, dataset: CVC-300, dice: 0.8419550000000002]
[2024-10-25 11:57:16 AM-train.py-INFO:epoch: 14, dataset: CVC-ClinicDB, dice: 0.8956766129032261]
[2024-10-25 11:57:21 AM-train.py-INFO:epoch: 14, dataset: Kvasir, dice: 0.8634779999999995]
[2024-10-25 11:57:35 AM-train.py-INFO:epoch: 14, dataset: CVC-ColonDB, dice: 0.7219418421052632]
[2024-10-25 11:57:49 AM-train.py-INFO:epoch: 14, dataset: ETIS-LaribPolypDB, dice: 0.5878331632653063]
[2024-10-25 11:59:29 AM-train.py-INFO:epoch: 15, dataset: CVC-300, dice: 0.839205]
[2024-10-25 11:59:33 AM-train.py-INFO:epoch: 15, dataset: CVC-ClinicDB, dice: 0.9042354838709684]
[2024-10-25 11:59:37 AM-train.py-INFO:epoch: 15, dataset: Kvasir, dice: 0.8784270000000002]
[2024-10-25 11:59:51 AM-train.py-INFO:epoch: 15, dataset: CVC-ColonDB, dice: 0.73427552631579]
[2024-10-25 12:00:05 PM-train.py-INFO:epoch: 15, dataset: ETIS-LaribPolypDB, dice: 0.6062204081632656]
[2024-10-25 12:00:40 PM-train.py-INFO:##############################################################################best:0.7391680451127818]
[2024-10-25 12:01:45 PM-train.py-INFO:epoch: 16, dataset: CVC-300, dice: 0.8443116666666669]
[2024-10-25 12:01:49 PM-train.py-INFO:epoch: 16, dataset: CVC-ClinicDB, dice: 0.9006991935483875]
[2024-10-25 12:01:53 PM-train.py-INFO:epoch: 16, dataset: Kvasir, dice: 0.8716519999999999]
[2024-10-25 12:02:07 PM-train.py-INFO:epoch: 16, dataset: CVC-ColonDB, dice: 0.7334673684210531]
[2024-10-25 12:02:21 PM-train.py-INFO:epoch: 16, dataset: ETIS-LaribPolypDB, dice: 0.6097484693877557]
[2024-10-25 12:04:00 PM-train.py-INFO:epoch: 17, dataset: CVC-300, dice: 0.8381250000000002]
[2024-10-25 12:04:04 PM-train.py-INFO:epoch: 17, dataset: CVC-ClinicDB, dice: 0.8995919354838712]
[2024-10-25 12:04:08 PM-train.py-INFO:epoch: 17, dataset: Kvasir, dice: 0.8678640000000002]
[2024-10-25 12:04:22 PM-train.py-INFO:epoch: 17, dataset: CVC-ColonDB, dice: 0.7362097368421059]
[2024-10-25 12:04:36 PM-train.py-INFO:epoch: 17, dataset: ETIS-LaribPolypDB, dice: 0.6214607142857143]
[2024-10-25 12:05:12 PM-train.py-INFO:##############################################################################best:0.7415001253132825]
[2024-10-25 12:06:16 PM-train.py-INFO:epoch: 18, dataset: CVC-300, dice: 0.8419400000000004]
[2024-10-25 12:06:20 PM-train.py-INFO:epoch: 18, dataset: CVC-ClinicDB, dice: 0.9057048387096777]
[2024-10-25 12:06:24 PM-train.py-INFO:epoch: 18, dataset: Kvasir, dice: 0.8657540000000001]
[2024-10-25 12:06:37 PM-train.py-INFO:epoch: 18, dataset: CVC-ColonDB, dice: 0.7431592105263145]
[2024-10-25 12:06:52 PM-train.py-INFO:epoch: 18, dataset: ETIS-LaribPolypDB, dice: 0.6057913265306123]
[2024-10-25 12:07:26 PM-train.py-INFO:##############################################################################best:0.7418651629072677]
[2024-10-25 12:08:31 PM-train.py-INFO:epoch: 19, dataset: CVC-300, dice: 0.822415]
[2024-10-25 12:08:35 PM-train.py-INFO:epoch: 19, dataset: CVC-ClinicDB, dice: 0.8588532258064523]
[2024-10-25 12:08:39 PM-train.py-INFO:epoch: 19, dataset: Kvasir, dice: 0.8438040000000002]
[2024-10-25 12:08:53 PM-train.py-INFO:epoch: 19, dataset: CVC-ColonDB, dice: 0.66130052631579]
[2024-10-25 12:09:07 PM-train.py-INFO:epoch: 19, dataset: ETIS-LaribPolypDB, dice: 0.4605545918367348]
[2024-10-25 12:10:46 PM-train.py-INFO:epoch: 20, dataset: CVC-300, dice: 0.839711666666667]
[2024-10-25 12:10:50 PM-train.py-INFO:epoch: 20, dataset: CVC-ClinicDB, dice: 0.9035564516129032]
[2024-10-25 12:10:54 PM-train.py-INFO:epoch: 20, dataset: Kvasir, dice: 0.8805300000000004]
[2024-10-25 12:11:08 PM-train.py-INFO:epoch: 20, dataset: CVC-ColonDB, dice: 0.7374913157894738]
[2024-10-25 12:11:22 PM-train.py-INFO:epoch: 20, dataset: ETIS-LaribPolypDB, dice: 0.6053163265306124]
[2024-10-25 12:13:01 PM-train.py-INFO:epoch: 21, dataset: CVC-300, dice: 0.8565883333333334]
[2024-10-25 12:13:04 PM-train.py-INFO:epoch: 21, dataset: CVC-ClinicDB, dice: 0.9016443548387093]
[2024-10-25 12:13:08 PM-train.py-INFO:epoch: 21, dataset: Kvasir, dice: 0.863151]
[2024-10-25 12:13:22 PM-train.py-INFO:epoch: 21, dataset: CVC-ColonDB, dice: 0.7370294736842105]
