[2024-12-02 05:10:01 PM-train - unet.py-INFO:epoch: 42, dataset: CVC-ColonDB, dice: 0.5174128947368427]
[2024-12-02 05:10:46 PM-train - unet.py-INFO:epoch: 42, dataset: ETIS-LaribPolypDB, dice: 0.23685204081632658]
[2024-12-02 05:12:03 PM-train - unet.py-INFO:epoch: 43, dataset: CVC-300, dice: 0.6663433333333331]
[2024-12-02 05:12:24 PM-train - unet.py-INFO:epoch: 43, dataset: CVC-ClinicDB, dice: 0.8592]
[2024-12-02 05:12:42 PM-train - unet.py-INFO:epoch: 43, dataset: Kvasir, dice: 0.530555]
[2024-12-02 05:13:50 PM-train - unet.py-INFO:epoch: 43, dataset: CVC-ColonDB, dice: 0.5056905263157899]
[2024-12-02 05:14:35 PM-train - unet.py-INFO:epoch: 43, dataset: ETIS-LaribPolypDB, dice: 0.20409387755102057]
[2024-12-02 05:15:51 PM-train - unet.py-INFO:epoch: 44, dataset: CVC-300, dice: 0.7194716666666668]
[2024-12-02 05:16:12 PM-train - unet.py-INFO:epoch: 44, dataset: CVC-ClinicDB, dice: 0.8748370967741935]
[2024-12-02 05:16:30 PM-train - unet.py-INFO:epoch: 44, dataset: Kvasir, dice: 0.6117070000000002]
[2024-12-02 05:17:38 PM-train - unet.py-INFO:epoch: 44, dataset: CVC-ColonDB, dice: 0.5606813157894744]
[2024-12-02 05:18:23 PM-train - unet.py-INFO:epoch: 44, dataset: ETIS-LaribPolypDB, dice: 0.31895102040816325]
[2024-12-02 05:18:34 PM-train - unet.py-INFO:##############################################################################best:0.8862557377049182]
[2024-12-02 05:19:42 PM-train - unet.py-INFO:epoch: 45, dataset: CVC-300, dice: 0.5914883333333332]
[2024-12-02 05:20:03 PM-train - unet.py-INFO:epoch: 45, dataset: CVC-ClinicDB, dice: 0.8749451612903224]
[2024-12-02 05:20:22 PM-train - unet.py-INFO:epoch: 45, dataset: Kvasir, dice: 0.47305899999999995]
[2024-12-02 05:21:31 PM-train - unet.py-INFO:epoch: 45, dataset: CVC-ColonDB, dice: 0.4686734210526319]
[2024-12-02 05:22:16 PM-train - unet.py-INFO:epoch: 45, dataset: ETIS-LaribPolypDB, dice: 0.21241836734693886]
[2024-12-02 05:22:28 PM-train - unet.py-INFO:##############################################################################best:0.8993295081967211]
[2024-12-02 05:23:36 PM-train - unet.py-INFO:epoch: 46, dataset: CVC-300, dice: 0.684435]
[2024-12-02 05:23:57 PM-train - unet.py-INFO:epoch: 46, dataset: CVC-ClinicDB, dice: 0.8958862903225804]
[2024-12-02 05:24:15 PM-train - unet.py-INFO:epoch: 46, dataset: Kvasir, dice: 0.526288]
[2024-12-02 05:25:24 PM-train - unet.py-INFO:epoch: 46, dataset: CVC-ColonDB, dice: 0.5137400000000002]
[2024-12-02 05:26:11 PM-train - unet.py-INFO:epoch: 46, dataset: ETIS-LaribPolypDB, dice: 0.23211275510204088]
[2024-12-02 05:27:31 PM-train - unet.py-INFO:epoch: 47, dataset: CVC-300, dice: 0.63353]
[2024-12-02 05:27:53 PM-train - unet.py-INFO:epoch: 47, dataset: CVC-ClinicDB, dice: 0.8910483870967741]
[2024-12-02 05:28:11 PM-train - unet.py-INFO:epoch: 47, dataset: Kvasir, dice: 0.610267]
[2024-12-02 05:29:19 PM-train - unet.py-INFO:epoch: 47, dataset: CVC-ColonDB, dice: 0.5318276315789476]
[2024-12-02 05:30:03 PM-train - unet.py-INFO:epoch: 47, dataset: ETIS-LaribPolypDB, dice: 0.2762576530612247]
[2024-12-02 05:31:19 PM-train - unet.py-INFO:epoch: 48, dataset: CVC-300, dice: 0.6783516666666667]
[2024-12-02 05:31:40 PM-train - unet.py-INFO:epoch: 48, dataset: CVC-ClinicDB, dice: 0.8983161290322583]
[2024-12-02 05:31:58 PM-train - unet.py-INFO:epoch: 48, dataset: Kvasir, dice: 0.5605539999999999]
[2024-12-02 05:33:07 PM-train - unet.py-INFO:epoch: 48, dataset: CVC-ColonDB, dice: 0.5466918421052634]
[2024-12-02 05:33:53 PM-train - unet.py-INFO:epoch: 48, dataset: ETIS-LaribPolypDB, dice: 0.22215153061224474]
[2024-12-02 05:35:12 PM-train - unet.py-INFO:epoch: 49, dataset: CVC-300, dice: 0.6853450000000002]
